Variety,Field,Area_He,Year,Kg Ha-1,Year,Kg Ha-1,Year,Kg Ha-1
THOMPSON,THOMPSON 00,9.6,2018,42209.0201385266,2019,31973.8020833333,2020,37807.8645833333
THOMPSON,THOMPSON 07,3.4,2018,37818.0558368301,2019,27008.0882352941,2020,38150.5882352941
THOMPSON,THOMPSON 08,3.4,2018,47094.339901664,2019,30371.9117647059,2020,34097.5
THOMPSON,THOMPSON 96,9.5,2018,39653.8641769946,2019,27943.8421052632,2020,36522.8947368421
CRIMSON,CRIMSON 99-00,12.2,2018,48920.0149331063,2019,53384.9590163934,2020,52419.7592373489
CRIMSON,CRIMSON 04,2.4,2018,45584.6351038506,2019,61283.5416666667,2020,52500.7656182423
TIMCO,TIMCO 14 CR,4.1,2018,48340.1290910048,2019,50073.0487804878,2020,74931.2195121951
INIAGRAPEONE,INIAGRAPE ONE 14,1.1,2018,56278.9473684211,2019,46748.1818181818,2020,24633.1818181818
SABLE,SABLE 14,4.2,2018,36081.6737588652,2019,47891.3333333333,2020,26804.8333333333
THOMPSON,THOMPSON 00,9.6,2019,31973.8020833333,2019,34794.4047619048,2020,50314.7256097561
THOMPSON,THOMPSON 07,3.4,2019,27008.0882352941,2019,8711.25,2020,40519.8267008986
THOMPSON,THOMPSON LORETO,12,2018,42831,2019,43428,2020,35878
