,Carmen Rosa,,,,Loreto,
Sentinel-1 GRD,Sentinel-2A,Sentinel-2B,,Sentinel-1 GRD,Sentinel-2A,Sentinel-2B
2017-10-01,2017-10-06,2017-10-21,,2019-10-09,2019-10-06,2019-10-21
2017-10-13,2017-10-26,2017-11-10,,2019-10-21,2019-11-05,2019-11-10
2017-10-25,2017-11-05,2017-11-30,,2019-11-02,2019-11-15,2019-11-20
2017-11-06,2017-11-15,2017-12-10,,2019-11-14,2019-12-05,2019-11-30
2017-11-18,2017-11-25,2017-12-20,,2019-11-26,2019-12-15,2019-12-10
2017-11-30,2017-12-05,2017-12-30,,2019-12-08,2019-12-25,2019-12-20
2017-12-12,2017-12-15,2018-10-06,,2019-12-20,,2019-12-30
2017-12-24,2017-12-25,2018-10-26,,2019-10-03,,
2018-12-25,2018-10-01,2018-11-15,,2019-10-15,,
2018-10-08,2018-10-21,2018-12-15,,2019-10-27,,
2018-10-20,2018-10-31,2018-12-25,,2019-11-08,,
2018-11-01,2018-11-10,2019-10-21,,2019-11-20,,
2018-11-13,2018-11-20,2019-11-10,,2019-12-02,,
2018-11-25,2018-12-10,2019-11-20,,2019-12-14,,
2018-12-07,2018-12-20,2019-11-30,,2019-12-26,,
2018-12-19,2018-12-30,2019-12-10,,,,
2018-12-31,2019-10-06,2019-12-20,,,,
2019-10-09,2019-11-05,2019-12-30,,,,
2019-10-21,2019-11-15,,,,,
2019-11-02,2019-12-05,,,,,
2019-11-14,2019-12-15,,,,,
2019-11-26,2019-12-25,,,,,
2019-12-08,,,,,,
2019-12-20,,,,,,
2019-10-03,,,,,,
2019-10-15,,,,,,
2019-10-27,,,,,,
2019-11-08,,,,,,
2019-11-20,,,,,,
2019-12-02,,,,,,
2019-12-14,,,,,,
2019-12-26,,,,,,
