Date,Satellite,Farm
2017-10-21,Sentinel-2B,Carmen Rosa
2017-11-10,Sentinel-2B,Carmen Rosa
2017-11-30,Sentinel-2B,Carmen Rosa
2017-12-10,Sentinel-2B,Carmen Rosa
2017-12-20,Sentinel-2B,Carmen Rosa
2017-12-30,Sentinel-2B,Carmen Rosa
2018-10-06,Sentinel-2B,Carmen Rosa
2018-10-26,Sentinel-2B,Carmen Rosa
2018-11-15,Sentinel-2B,Carmen Rosa
2018-12-15,Sentinel-2B,Carmen Rosa
2018-12-25,Sentinel-2B,Carmen Rosa
2019-10-21,Sentinel-2B,Carmen Rosa
2019-11-10,Sentinel-2B,Carmen Rosa
2019-11-20,Sentinel-2B,Carmen Rosa
2019-11-30,Sentinel-2B,Carmen Rosa
2019-12-10,Sentinel-2B,Carmen Rosa
2019-12-20,Sentinel-2B,Carmen Rosa
2019-12-30,Sentinel-2B,Carmen Rosa
2017-10-06,Sentinel-2A,Carmen Rosa
2017-10-26,Sentinel-2A,Carmen Rosa
2017-11-05,Sentinel-2A,Carmen Rosa
2017-11-15,Sentinel-2A,Carmen Rosa
2017-11-25,Sentinel-2A,Carmen Rosa
2017-12-05,Sentinel-2A,Carmen Rosa
2017-12-15,Sentinel-2A,Carmen Rosa
2017-12-25,Sentinel-2A,Carmen Rosa
2018-10-01,Sentinel-2A,Carmen Rosa
2018-10-21,Sentinel-2A,Carmen Rosa
2018-10-31,Sentinel-2A,Carmen Rosa
2018-11-10,Sentinel-2A,Carmen Rosa
2018-11-20,Sentinel-2A,Carmen Rosa
2018-12-10,Sentinel-2A,Carmen Rosa
2018-12-20,Sentinel-2A,Carmen Rosa
2018-12-30,Sentinel-2A,Carmen Rosa
2019-10-06,Sentinel-2A,Carmen Rosa
2019-11-05,Sentinel-2A,Carmen Rosa
2019-11-15,Sentinel-2A,Carmen Rosa
2019-12-05,Sentinel-2A,Carmen Rosa
2019-12-15,Sentinel-2A,Carmen Rosa
2019-12-25,Sentinel-2A,Carmen Rosa
2017-10-01,Sentinel-1 GRD,Carmen Rosa
2017-10-13,Sentinel-1 GRD,Carmen Rosa
2017-10-25,Sentinel-1 GRD,Carmen Rosa
2017-11-06,Sentinel-1 GRD,Carmen Rosa
2017-11-18,Sentinel-1 GRD,Carmen Rosa
2017-11-30,Sentinel-1 GRD,Carmen Rosa
2017-12-12,Sentinel-1 GRD,Carmen Rosa
2017-12-24,Sentinel-1 GRD,Carmen Rosa
2018-12-25,Sentinel-1 GRD,Carmen Rosa
2018-10-08,Sentinel-1 GRD,Carmen Rosa
2018-10-20,Sentinel-1 GRD,Carmen Rosa
2018-11-01,Sentinel-1 GRD,Carmen Rosa
2018-11-13,Sentinel-1 GRD,Carmen Rosa
2018-11-25,Sentinel-1 GRD,Carmen Rosa
2018-12-07,Sentinel-1 GRD,Carmen Rosa
2018-12-19,Sentinel-1 GRD,Carmen Rosa
2018-12-31,Sentinel-1 GRD,Carmen Rosa
2019-10-09,Sentinel-1 GRD,Carmen Rosa
2019-10-21,Sentinel-1 GRD,Carmen Rosa
2019-11-02,Sentinel-1 GRD,Carmen Rosa
2019-11-14,Sentinel-1 GRD,Carmen Rosa
2019-11-26,Sentinel-1 GRD,Carmen Rosa
2019-12-08,Sentinel-1 GRD,Carmen Rosa
2019-12-20,Sentinel-1 GRD,Carmen Rosa
2019-10-03,Sentinel-1 GRD,Carmen Rosa
2019-10-15,Sentinel-1 GRD,Carmen Rosa
2019-10-27,Sentinel-1 GRD,Carmen Rosa
2019-11-08,Sentinel-1 GRD,Carmen Rosa
2019-11-20,Sentinel-1 GRD,Carmen Rosa
2019-12-02,Sentinel-1 GRD,Carmen Rosa
2019-12-14,Sentinel-1 GRD,Carmen Rosa
2019-12-26,Sentinel-1 GRD,Carmen Rosa
