Satellite,Model,R2,RMSE,MAE,Predicted,Original
S1,Random Forest,0.581689823907518,5686.53989750574,4946.21954259673,36610.5240435558,35878
S1,CForest,0.177617020058714,7840.81446729016,7020.68118813604,38113.5117048057,35878
S1,Gaussian Radial Basis,0.113203988447455,8605.44418823471,7947.08947785742,40868.4321212187,35878
S2,Random Forest,0.607299459955183,5611.3117877271,3779.97125517227,37654.8772861068,35878
S2,CForest,0.521599028009126,7014.56759254731,5976.56522348486,38474.5228942292,35878
S2,Gaussian Radial Basis,0.270856722535739,7303.51982638533,6741.01847442726,40918.2095759836,35878
S1 & S2,Random Forest,0.823463804000628,4914.36144251243,4387.66931229049,34569.8247212335,35878
S1 & S2,CForest,0.483116996677575,7262.0609992418,6331.03987723135,38490.6615280103,35878
S1 & S2,Gaussian Radial Basis,0.259899688725657,7369.32442262906,6134.28391159599,41287.4763451402,35878
