Year,CAMPO,Variety,Field,N Unit/He,K20 Unit/He,P Unit/He,CaO Unit/He,MgO Unit/He
2018,CARMEN ROSA,TIMCO,TIMCO 14 CR,78,120,30,0,40
2018,CARMEN ROSA,THOMPSON,THOMPSON 08,42,60,40,29.5,45
2018,CARMEN ROSA,THOMPSON,THOMPSON 07,42,60,40,29.5,45
2018,CARMEN ROSA,THOMPSON,THOMPSON 00,42,60,40,29.5,45
2018,CARMEN ROSA,SABLE,SABLE 16,60,0,0,0,0
2018,CARMEN ROSA,SABLE,SABLE 14,63,120,40,14.4,40
2018,CARMEN ROSA,CRIMSON,CRIMSON 04,80,160,30,32,40
2018,CARMEN ROSA,CRIMSON,CRIMSON 99-00,80,160,40,32,80
2018,CARMEN ROSA,ARRA,ARRA15 CR 13,100,120,50,0,50
2018,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 15,60,0,0,0,0
2018,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,140,200,70,48,50
2018,CARMEN ROSA,THOMPSON,THOMPSON 96,42,60,40,29.5,45
2018,LORETO,THOMPSON,THOMPSON LORETO,52,121.6,40,29.5,45
2019,CARMEN ROSA,TIMCO,TIMCO 14 CR,113,100,30,14.4,50
2019,CARMEN ROSA,THOMPSON,THOMPSON 96,42,60,30,28.8,40
2019,CARMEN ROSA,THOMPSON,THOMPSON 08,42,60,30,28.8,50
2019,CARMEN ROSA,THOMPSON,THOMPSON 07,42,60,30,28.8,50
2019,CARMEN ROSA,THOMPSON,THOMPSON 00,42,60,30,28.8,40
2019,LORETO,THOMPSON,THOMPSON LORETO,52,160,30,28.8,40
2019,CARMEN ROSA,SABLE,SABLE 16,81,120,30,28.8,50
2019,CARMEN ROSA,Sable,SABLE 14,81,120,30,28.8,50
2019,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,158,200,30,62.4,0
2019,CARMEN ROSA,CRIMSON,CRIMSON 04,80,160,30,32,40
2019,CARMEN ROSA,CRIMSON,CRIMSON 99-00,160,320,60,64,80
2019,CARMEN ROSA,ARRA,ARRA15 CR 13,100,120,30,32,50
2020,CARMEN ROSA,TIMCO,TIMCO 14 CR,80,160,30,32,200
2020,CARMEN ROSA,THOMPSON,THOMPSON 96,50,60,30,29.5,100
2020,LORETO,THOMPSON,THOMPSON LORETO,50,60,30,29.5,100
2020,CARMEN ROSA,THOMPSON,THOMPSON 08,42,60,30,29.5,150
2020,CARMEN ROSA,THOMPSON,THOMPSON 07,42,60,30,29.5,150
2020,CARMEN ROSA,THOMPSON,THOMPSON 00,50,60,30,29.5,100
2020,CARMEN ROSA,SABLE,SABLE 16,0,60,30,0,200
2020,CARMEN ROSA,SABLE,SABLE 14,81,180,30,28.8,200
2020,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 15,140,220,30,48,200
2020,CARMEN ROSA,INIAGRAPEONE,INIAGRAPE ONE 14,140,220,30,48,200
2020,CARMEN ROSA,CRIMSON,CRIMSON 04,80,160,30,32,100
2020,CARMEN ROSA,CRIMSON,CRIMSON 99-00,160,320,60,64,300
2020,CARMEN ROSA,ARRA,ARRA15 CR 13,100,120,30,32,200
