min_Evapo,max_Evapo,mean_Evapo,sum_Evapo,median_Evapo,stdv_Evapo,Year,Weather_station
1.14,6.23,4.01358695652174,369.25,4.17,1.15729561746411,2018,Los_Tilos
1.01,6.2,4.16815217391304,383.47,4.275,1.23230145568669,2018,San_Antonio_de_Naltahua
0.95,6.09,3.78065217391304,347.82,3.69,1.21087363280014,2018,San_Pedro_de_Melipilla
0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,2018,Carmen_Rosa
1.05,6.27,3.97771739130435,365.95,4.27,1.07012693430191,2019,Los_Tilos
1.41,5.76,4.20336956521739,386.71,4.52,1.15421375853099,2019,San_Antonio_de_Naltahua
1.46,5.85,3.9579347826087,364.13,4.12,1.12107340442878,2019,San_Pedro_de_Melipilla
0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,2019,Carmen_Rosa
1.41,6.32,4.32630434782609,398.02,4.69,1.19757788284328,2020,Los_Tilos
1.55,6.69,4.54934782608696,418.54,4.67,1.12617099432402,2020,San_Antonio_de_Naltahua
1.15,6.58,4.44782608695652,409.2,4.31,1.25131388186991,2020,San_Pedro_de_Melipilla
1.26,6.29,4.62760869565217,425.74,4.75,1.10646190855736,2020,Carmen_Rosa
