Time_UTC_Chile,Talagante_Talagante
01/16/19,10.4
01/17/19,9.4
01/18/19,11.2
01/19/19,9.5
01/20/19,9.9
01/21/19,11.6
01/22/19,11.1
01/23/19,9.6
01/24/19,10.6
01/25/19,12.2
01/26/19,15
01/27/19,12.1
01/28/19,11.8
01/29/19,8.7
01/30/19,11.1
01/31/19,12.8
02/01/19,11.7
02/02/19,11.3
02/03/19,11.5
02/04/19,11
02/05/19,10.5
02/06/19,10.5
02/07/19,11.3
02/08/19,11.5
02/09/19,11.2
02/10/19,10.1
02/11/19,9.7
02/12/19,9.3
02/13/19,9.2
02/14/19,11.7
02/15/19,9.7
02/16/19,9.5
02/17/19,10.5
02/18/19,10
02/19/19,12
02/20/19,9.5
02/21/19,9.8
02/22/19,11.5
02/23/19,11.8
02/24/19,10.3
02/25/19,9.2
02/26/19,9.5
02/27/19,9.6
02/28/19,7.5
03/01/19,9.8
03/02/19,9.4
03/03/19,8.3
03/04/19,9.3
03/05/19,9.7
03/06/19,9.6
03/07/19,8.4
03/08/19,7.5
03/09/19,8.7
03/10/19,8.5
03/11/19,8.4
03/12/19,10.3
03/13/19,7.9
03/14/19,8.4
03/15/19,7.4
03/16/19,6.4
03/17/19,8.3
03/18/19,7.4
03/19/19,6.6
03/20/19,6.2
03/21/19,6.1
03/22/19,9.1
03/23/19,6.6
03/24/19,3.9
03/25/19,6.7
03/26/19,6.2
03/27/19,5.7
03/28/19,7.4
03/29/19,6
03/30/19,2.9
03/31/19,6.2
04/01/19,7.8
04/02/19,8.3
04/03/19,3.6
04/04/19,8.2
04/05/19,8.8
04/06/19,9.3
04/07/19,10.1
04/08/19,6.3
04/09/19,2.2
04/10/19,7.5
04/11/19,4.2
04/12/19,0.7
04/13/19,0
04/14/19,2.4
04/15/19,6.6
04/16/19,7
04/17/19,6.8
04/18/19,2
04/19/19,2.7
04/20/19,4.4
04/21/19,2.2
04/22/19,2.5
04/23/19,2.4
04/24/19,1.7
04/25/19,3.9
04/26/19,3.7
04/27/19,4.7
04/28/19,5.7
04/29/19,7.8
04/30/19,3.5
05/01/19,4.1
05/02/19,6.6
05/03/19,6.8
05/04/19,5.1
05/05/19,4.2
05/06/19,5.7
05/07/19,3.5
05/08/19,0
05/09/19,1.9
05/10/19,0.6
05/11/19,0
05/12/19,2.1
05/13/19,4.9
05/14/19,4.2
05/15/19,1
05/16/19,0
05/17/19,0.7
05/18/19,2.4
05/19/19,0
05/20/19,0
05/21/19,0
05/22/19,0
05/23/19,0.1
05/24/19,0.2
05/25/19,1
05/26/19,0
05/27/19,0
05/28/19,0.4
05/29/19,4.3
05/30/19,1.5
05/31/19,1
06/01/19,0
06/02/19,1.6
06/03/19,1.1
06/04/19,2.4
06/05/19,1.5
06/06/19,1.1
06/07/19,0
06/08/19,0.1
06/09/19,0.5
06/10/19,1.3
06/11/19,0
06/12/19,0
06/13/19,0
06/14/19,0
06/15/19,0
06/16/19,0
06/17/19,0
06/18/19,0
06/19/19,0
06/20/19,0.4
06/21/19,0
06/22/19,0.4
06/23/19,0
06/24/19,0
06/25/19,0
06/26/19,0
06/27/19,0
06/28/19,0
06/29/19,0
06/30/19,0
07/01/19,0
07/02/19,0
07/03/19,0
07/04/19,0
07/05/19,1.1
07/06/19,0
07/07/19,0
07/08/19,0.4
07/09/19,0.2
07/10/19,0
07/11/19,0
07/12/19,0
07/13/19,0
07/14/19,0
07/15/19,0.4
07/16/19,0
07/17/19,0
07/18/19,1.5
07/19/19,0
07/20/19,0.5
07/21/19,0
07/22/19,0
07/23/19,0
07/24/19,0
07/25/19,0
07/26/19,0
07/27/19,0
07/28/19,0
07/29/19,4.2
07/30/19,5.8
07/31/19,0.4
08/01/19,0
08/02/19,0
08/03/19,2.3
08/04/19,3.8
08/05/19,0
08/06/19,0
08/07/19,0
08/08/19,0
08/09/19,0
08/10/19,0
08/11/19,0
08/12/19,0.1
08/13/19,2.2
08/14/19,3.6
08/15/19,0
08/16/19,0
08/17/19,0
08/18/19,0
08/19/19,0
08/20/19,7.4
08/21/19,0.1
08/22/19,6.3
08/23/19,6.1
08/24/19,6.1
08/25/19,5.3
08/26/19,5.3
08/27/19,6.1
08/28/19,7.3
08/29/19,3.2
08/30/19,2.7
08/31/19,1.5
09/01/19,2
09/02/19,1.1
09/03/19,1.6
09/04/19,3.5
09/05/19,3.1
09/06/19,2.3
09/07/19,2
09/08/19,0.6
09/09/19,0.2
09/10/19,0.5
09/11/19,2.1
09/12/19,4.4
09/13/19,3.2
09/14/19,2.7
09/15/19,2.4
09/16/19,2.5
09/17/19,1.6
09/18/19,1.7
09/19/19,0.7
09/20/19,3.1
09/21/19,4
09/22/19,4.4
09/23/19,4.6
09/24/19,4.7
09/25/19,4.4
09/26/19,4
09/27/19,4.3
09/28/19,4.5
09/29/19,2
09/30/19,1
10/01/19,0
10/02/19,0
10/03/19,0
10/04/19,1.3
10/05/19,2.2
10/06/19,5
10/07/19,7
10/08/19,10.2
10/09/19,11.6
10/10/19,8.9
10/11/19,5.8
10/12/19,3.3
10/13/19,7.5
10/14/19,3.5
10/15/19,5.1
10/16/19,2.9
10/17/19,5.5
10/18/19,5.7
10/19/19,2.4
10/20/19,5.6
10/21/19,6.3
10/22/19,7.9
10/23/19,6.1
10/24/19,6.8
10/25/19,7.4
10/26/19,6.5
10/27/19,5.3
10/28/19,4
10/29/19,2.5
10/30/19,5.6
10/31/19,6.4
11/01/19,5.1
11/02/19,7.8
11/03/19,6.8
11/04/19,4.6
11/05/19,7.7
11/06/19,9
11/07/19,12.2
11/08/19,8.9
11/09/19,11
11/10/19,10.9
11/11/19,7
11/12/19,8.5
11/13/19,10.3
11/14/19,11.7
11/15/19,11.8
11/16/19,12.5
11/17/19,9.4
11/18/19,12.8
11/19/19,12.7
11/20/19,12
11/21/19,9.3
11/22/19,9.4
11/23/19,7.1
11/24/19,7.9
11/25/19,5.5
11/26/19,5.4
11/27/19,8.4
11/28/19,9.2
11/29/19,8.5
11/30/19,10.4
12/01/19,8.5
12/02/19,9.1
12/03/19,10
12/04/19,8.6
12/05/19,10.7
12/06/19,8.7
12/07/19,7.6
12/08/19,7.7
12/09/19,9
12/10/19,8
12/11/19,9.2
12/12/19,12.8
12/13/19,10.3
12/14/19,7.7
12/15/19,8.5
12/16/19,9.7
12/17/19,11
12/18/19,11.7
12/19/19,10.5
12/20/19,10.3
12/21/19,13.1
12/22/19,12.2
12/23/19,14.4
12/24/19,12.1
12/25/19,10.9
12/26/19,10.6
12/27/19,11.8
12/28/19,12.2
12/29/19,12.9
12/30/19,12.3
12/31/19,11.9
